name	fips
judith basin county	30037
lake county	30039
lewis and clark county	30041
liberty county	30043
lincoln county	30045
mccone county	30047
madison county	30049
meagher county	30051
mineral county	30053
missoula county	30055
musselshell county	30057
park county	30059
petroleum county	30061
phillips county	30063
pondera county	30065
powder river county	30067
powell county	30069
prairie county	30071
ravalli county	30073
richland county	30075
roosevelt county	30077
rosebud county	30079
sanders county	30081
sheridan county	30083
silver bow county	30085
stillwater county	30087
sweet grass county	30089
teton county	30091
toole county	30093
treasure county	30095
valley county	30097
wheatland county	30099
wibaux county	30101
yellowstone county	30103
adams county	30993
antelope county	30995
arthur county	30997
banner county	30999
blaine county	31001
boone county	31003
box butte county	31005
boyd county	31007
brown county	31009
buffalo county	31011
burt county	31013
butler county	31015
cass county	31017
cedar county	31019
chase county	31021
cherry county	31023
cheyenne county	31025
clay county	31027
colfax county	31029
cuming county	31031
custer county	31033
dakota county	31035
dawes county	31037
dawson county	31039
deuel county	31041
dixon county	31043
dodge county	31045
douglas county	31047
dundy county	31049
fillmore county	31051
franklin county	31053
frontier county	31055
furnas county	31057
gage county	31059
garden county	31061
garfield county	31063
gosper county	31065
grant county	31067
greeley county	31069
hall county	31071
hamilton county	31073
harlan county	31075
hayes county	31077
hitchcock county	31079
holt county	31081
hooker county	31083
howard county	31085
jefferson county	31087
johnson county	31089
kearney county	31091
keith county	31093
keya paha county	31095
kimball county	31097
knox county	31099
lancaster county	31101
lincoln county	31103
logan county	31105
