fips	name	fips	name
19071	hamilton county	31073	hamilton county
19071	hamilton county	36033	hamilton county
19071	hamilton county	48185	hamilton county
20067	hamilton county	39053	hamilton county
20067	hamilton county	47057	hamilton county
31073	hamilton county	39053	hamilton county
31073	hamilton county	47057	hamilton county
36033	hamilton county	39053	hamilton county
36033	hamilton county	47057	hamilton county
39053	hamilton county	48185	hamilton county
47057	hamilton county	48185	hamilton county
25007	hampshire county	54019	hampshire county
13133	hancock county	17059	hancock county
13133	hancock county	18051	hancock county
13133	hancock county	19073	hancock county
13133	hancock county	21083	hancock county
13133	hancock county	28037	hancock county
13133	hancock county	39055	hancock county
13133	hancock county	47059	hancock county
13133	hancock county	54021	hancock county
17059	hancock county	23001	hancock county
18051	hancock county	23001	hancock county
19073	hancock county	23001	hancock county
21083	hancock county	23001	hancock county
23001	hancock county	28037	hancock county
23001	hancock county	39055	hancock county
23001	hancock county	47059	hancock county
23001	hancock county	54021	hancock county
47061	hardeman county	48189	hardeman county
17061	hardin county	19075	hardin county
17061	hardin county	21085	hardin county
19075	hardin county	39057	hardin county
19075	hardin county	47063	hardin county
19075	hardin county	48191	hardin county
21085	hardin county	39057	hardin county
21085	hardin county	47063	hardin county
21085	hardin county	48191	hardin county
35013	harding county	46055	harding county
13137	harris county	48193	harris county
18053	harrison county	28039	harrison county
19077	harrison county	28039	harrison county
21089	harrison county	28039	harrison county
28039	harrison county	29073	harrison county
28039	harrison county	39059	harrison county
28039	harrison county	48195	harrison county
28039	harrison county	54025	harrison county
17063	henderson county	47069	henderson county
17063	henderson county	48205	henderson county
21093	henderson county	47069	henderson county
21093	henderson county	48205	henderson county
37081	henderson county	47069	henderson county
37081	henderson county	48205	henderson county
1059	henry county	13143	henry county
1059	henry county	17065	henry county
1059	henry county	19079	henry county
1059	henry county	51081	henry county
13143	henry county	18057	henry county
13143	henry county	21095	henry county
13143	henry county	29075	henry county
13143	henry county	39061	henry county
13143	henry county	47071	henry county
17065	henry county	18057	henry county
17065	henry county	21095	henry county
17065	henry county	29075	henry county
17065	henry county	39061	henry county
17065	henry county	47071	henry county
18057	henry county	19079	henry county
18057	henry county	51081	henry county
19079	henry county	21095	henry county
19079	henry county	29075	henry county
19079	henry county	39061	henry county
19079	henry county	47071	henry county
21095	henry county	51081	henry county
29075	henry county	51081	henry county
39061	henry county	51081	henry county
47071	henry county	51081	henry county
30033	hill county	48209	hill county
12051	holmes county	28043	holmes county
28043	holmes county	39067	holmes county
1061	houston county	13145	houston county
1061	houston county	27047	houston county
13145	houston county	47075	houston county
13145	houston county	48217	houston county
27047	houston county	47075	houston county
27047	houston county	48217	houston county
5053	howard county	19081	howard county
5053	howard county	24019	howard county
18059	howard county	19081	howard county
18059	howard county	24019	howard county
19081	howard county	29081	howard county
19081	howard county	31085	howard county
19081	howard county	48219	howard county
24019	howard county	29081	howard county
24019	howard county	31085	howard county
24019	howard county	48219	howard county
6015	humboldt county	19083	humboldt county
6015	humboldt county	32005	humboldt county
28045	humphreys county	47077	humphreys county
37087	hyde county	46061	hyde county
26063	iron county	29085	iron county
26063	iron county	49013	iron county
29085	iron county	55043	iron county
49013	iron county	55043	iron county
1063	jackson county	17069	jackson county
1063	jackson county	19089	jackson county
1063	jackson county	26067	jackson county
1063	jackson county	29087	jackson county
1063	jackson county	37091	jackson county
1063	jackson county	41021	jackson county
1063	jackson county	55045	jackson county
5059	jackson county	17069	jackson county
5059	jackson county	19089	jackson county
5059	jackson county	26067	jackson county
5059	jackson county	29087	jackson county
5059	jackson county	37091	jackson county
5059	jackson county	41021	jackson county
5059	jackson county	55045	jackson county
8049	jackson county	17069	jackson county
8049	jackson county	19089	jackson county
8049	jackson county	26067	jackson county
8049	jackson county	29087	jackson county
8049	jackson county	37091	jackson county
8049	jackson county	41021	jackson county
8049	jackson county	55045	jackson county
12055	jackson county	17069	jackson county
12055	jackson county	19089	jackson county
12055	jackson county	26067	jackson county
12055	jackson county	29087	jackson county
12055	jackson county	37091	jackson county
12055	jackson county	41021	jackson county
12055	jackson county	55045	jackson county
